epochs,QLearning_random_win_pct,QLearning_random_time,QLearning_QLearning_win_pct,QLearning_QLearning_time,QLearning_ab-weighted-diff_win_pct,QLearning_ab-weighted-diff_time,ab-weighted-diff_random_win_pct,ab-weighted-diff_random_time,ab-weighted-diff_QLearning_win_pct,ab-weighted-diff_QLearning_time,ab-weighted-diff_ab-weighted-diff_win_pct,ab-weighted-diff_ab-weighted-diff_time
38,73.68421052631578,0.027235746383666992,36.84210526315789,0.04633760452270508,7.894736842105263,5.810109853744507,89.47368421052632,4.239441156387329,92.10526315789474,6.1003289222717285,0.0,8.6976900100708
39,74.35897435897436,0.02655482292175293,38.46153846153847,0.04429817199707031,7.6923076923076925,5.710284948348999,87.17948717948718,2.454102039337158,92.3076923076923,3.367441177368164,0.0,8.66952896118164
40,72.5,0.028053998947143555,37.5,0.04608511924743652,7.5,5.1717400550842285,87.5,3.483572006225586,92.5,4.058686971664429,0.0,8.711974143981934
41,73.17073170731707,0.026014089584350586,36.58536585365854,0.04454612731933594,7.317073170731707,6.842735767364502,87.8048780487805,3.4079129695892334,92.6829268292683,4.618283033370972,0.0,8.545340299606323
42,73.80952380952381,0.029855012893676758,35.714285714285715,0.04703187942504883,7.142857142857142,4.600150108337402,88.09523809523809,4.402683258056641,92.85714285714286,3.7239480018615723,0.0,8.682921886444092
43,72.09302325581395,0.025450944900512695,37.2093023255814,0.045217037200927734,6.976744186046512,5.7437169551849365,88.37209302325581,3.871961832046509,93.02325581395348,3.1190669536590576,0.0,8.721382856369019
44,72.72727272727273,0.028667926788330078,36.36363636363637,0.0490570068359375,6.8181818181818175,5.873120069503784,88.63636363636364,0.18354010581970215,93.18181818181817,5.52293586730957,0.0,8.704783201217651
45,73.33333333333333,0.029088973999023438,37.77777777777778,0.043508052825927734,8.88888888888889,4.013160943984985,88.88888888888889,3.7213640213012695,93.33333333333333,2.9968488216400146,0.0,8.661709070205688
46,73.91304347826086,0.02843189239501953,39.130434782608695,0.04939007759094238,8.695652173913043,3.509603977203369,89.13043478260869,5.0541980266571045,93.47826086956522,4.1624228954315186,0.0,8.611646175384521
47,74.46808510638297,0.026815176010131836,40.42553191489361,0.04334902763366699,8.51063829787234,5.705546855926514,89.36170212765957,4.706472873687744,93.61702127659575,5.108490943908691,0.0,8.699774265289307
48,72.91666666666666,0.02466106414794922,41.66666666666667,0.045140981674194336,8.333333333333332,5.564961194992065,89.58333333333334,3.185509204864502,93.75,4.078641891479492,0.0,8.694411039352417
49,73.46938775510205,0.026555776596069336,40.816326530612244,0.048043012619018555,8.16326530612245,5.992116928100586,89.79591836734694,3.1313071250915527,93.87755102040816,4.26810097694397,0.0,8.641201972961426
50,74.0,0.026641130447387695,42.0,0.04375195503234863,8.0,4.030308961868286,90.0,3.839177131652832,94.0,3.3470680713653564,0.0,8.69635009765625
51,72.54901960784314,0.02760004997253418,41.17647058823529,0.048271894454956055,9.803921568627452,4.150308132171631,90.19607843137256,2.9278669357299805,94.11764705882352,3.6130988597869873,0.0,8.582053899765015
52,73.07692307692307,0.02831888198852539,40.38461538461539,0.0451352596282959,9.615384615384617,7.292182207107544,90.38461538461539,4.926171779632568,94.23076923076923,3.3549370765686035,0.0,8.707946062088013
53,73.58490566037736,0.02963399887084961,41.509433962264154,0.04370927810668945,9.433962264150944,5.534361124038696,90.56603773584906,4.845947980880737,94.33962264150944,3.3554110527038574,0.0,8.705989122390747
54,74.07407407407408,0.02652907371520996,42.592592592592595,0.048065185546875,9.25925925925926,3.359696865081787,88.88888888888889,5.3073670864105225,94.44444444444444,5.946346998214722,0.0,8.68687105178833
55,74.54545454545455,0.033119916915893555,43.63636363636363,0.049021244049072266,9.090909090909092,5.5040669441223145,89.0909090909091,3.6889560222625732,94.54545454545455,4.676531076431274,0.0,8.724099159240723
56,75.0,0.027950048446655273,44.642857142857146,0.050781965255737305,8.928571428571429,5.191567897796631,87.5,4.136627912521362,94.64285714285714,5.6335248947143555,0.0,8.580103874206543
57,75.43859649122807,0.025465965270996094,43.859649122807014,0.05203390121459961,8.771929824561402,5.324697017669678,87.71929824561403,3.759552001953125,94.73684210526315,4.061914920806885,0.0,8.691096782684326
58,75.86206896551724,0.02593994140625,44.827586206896555,0.052600860595703125,8.620689655172415,4.646580934524536,87.93103448275862,3.333253860473633,93.10344827586206,3.6726841926574707,0.0,8.719728946685791
59,76.27118644067797,0.025565147399902344,45.76271186440678,0.045350074768066406,8.47457627118644,4.734166145324707,88.13559322033898,4.7848100662231445,93.22033898305084,4.485638856887817,0.0,8.676746129989624
60,76.66666666666667,0.03240489959716797,46.666666666666664,0.04263019561767578,8.333333333333332,3.2428622245788574,88.33333333333333,3.0159060955047607,93.33333333333333,3.315445899963379,0.0,8.726462841033936
61,77.04918032786885,0.026012182235717773,45.90163934426229,0.0478358268737793,8.19672131147541,4.121185064315796,88.52459016393442,3.6294891834259033,93.44262295081968,5.163400888442993,0.0,8.580130100250244
62,75.80645161290323,0.029623031616210938,45.16129032258064,0.04364490509033203,8.064516129032258,6.22388482093811,88.70967741935483,1.6331281661987305,93.54838709677419,0.19082021713256836,0.0,8.711321115493774
63,76.19047619047619,0.02929210662841797,44.44444444444444,0.04528093338012695,7.936507936507936,0.4874229431152344,88.88888888888889,6.492181777954102,93.65079365079364,5.8615500926971436,0.0,8.718660831451416
64,76.5625,0.02822589874267578,45.3125,0.04677987098693848,7.8125,4.790153980255127,89.0625,3.6962101459503174,93.75,3.416323661804199,0.0,8.668182611465454
65,76.92307692307693,0.026463031768798828,46.15384615384615,0.04536890983581543,9.230769230769232,3.433824062347412,87.6923076923077,4.173870086669922,93.84615384615384,3.8260011672973633,0.0,8.710093021392822
66,77.27272727272727,0.024714946746826172,45.45454545454545,0.045213937759399414,9.090909090909092,4.688271760940552,87.87878787878788,4.229227066040039,93.93939393939394,3.83013916015625,0.0,8.56007719039917
67,77.61194029850746,0.02502298355102539,44.776119402985074,0.04889488220214844,10.44776119402985,4.6968607902526855,88.05970149253731,4.144644021987915,94.02985074626866,3.506829023361206,0.0,8.708172082901001
68,76.47058823529412,0.029833078384399414,44.11764705882353,0.04697775840759277,10.294117647058822,1.5328292846679688,88.23529411764706,5.82389497756958,94.11764705882352,3.8238658905029297,0.0,8.688094854354858
69,75.36231884057972,0.028310060501098633,44.927536231884055,0.05856895446777344,10.144927536231885,4.681151390075684,88.40579710144928,3.9624080657958984,94.20289855072464,6.073673963546753,0.0,8.719637870788574
70,75.71428571428571,0.027947187423706055,44.285714285714285,0.05221080780029297,11.428571428571429,3.649444103240967,88.57142857142857,2.4812979698181152,94.28571428571428,6.555140733718872,0.0,8.750083208084106
71,74.64788732394366,0.027471065521240234,43.66197183098591,0.047271013259887695,11.267605633802818,6.0543670654296875,88.73239436619718,3.0864531993865967,94.36619718309859,4.372322082519531,0.0,8.561639308929443
72,75.0,0.028241872787475586,44.44444444444444,0.04771876335144043,11.11111111111111,3.647704839706421,88.88888888888889,3.298060655593872,94.44444444444444,4.54309606552124,0.0,8.711953163146973
73,75.34246575342466,0.029991865158081055,45.20547945205479,0.045561790466308594,10.95890410958904,3.8968310356140137,89.04109589041096,3.9951388835906982,94.52054794520548,3.071342945098877,0.0,8.645203828811646
74,75.67567567567568,0.02843761444091797,45.94594594594595,0.047959089279174805,10.81081081081081,2.2486019134521484,89.1891891891892,5.196482181549072,94.5945945945946,3.905773878097534,0.0,8.685704946517944
75,76.0,0.02850174903869629,46.666666666666664,0.04772210121154785,10.666666666666668,4.153516054153442,89.33333333333333,2.8811631202697754,94.66666666666667,4.328370094299316,0.0,8.694374322891235
76,75.0,0.026652812957763672,47.368421052631575,0.04354405403137207,10.526315789473683,4.372929811477661,89.47368421052632,4.342385768890381,94.73684210526315,2.551193952560425,0.0,8.63926911354065
77,75.32467532467533,0.0268402099609375,46.75324675324675,0.048482656478881836,10.38961038961039,3.455662250518799,89.6103896103896,6.198514938354492,93.5064935064935,4.196608066558838,0.0,8.727334022521973
78,75.64102564102564,0.02375197410583496,46.15384615384615,0.04604697227478027,10.256410256410255,4.032934904098511,89.74358974358975,2.4501349925994873,93.58974358974359,4.60869288444519,0.0,8.669610977172852
79,75.9493670886076,0.02621912956237793,46.835443037974684,0.04570198059082031,10.126582278481013,4.8126959800720215,89.87341772151899,2.2394680976867676,93.67088607594937,3.321470022201538,0.0,8.726422786712646
80,75.0,0.026841163635253906,47.5,0.0465388298034668,10.0,5.753054141998291,90.0,4.622627019882202,93.75,3.6589009761810303,0.0,8.612548112869263
81,74.07407407407408,0.03041672706604004,48.148148148148145,0.047628164291381836,9.876543209876543,4.695289134979248,90.12345679012346,4.4732139110565186,93.82716049382715,3.3906590938568115,0.0,8.693285942077637
82,73.17073170731707,0.028696775436401367,47.5609756097561,0.047913312911987305,9.75609756097561,4.800264120101929,90.2439024390244,4.4205498695373535,93.90243902439023,5.394091844558716,0.0,8.685628175735474
83,72.28915662650603,0.026980876922607422,48.19277108433735,0.05636191368103027,9.63855421686747,6.432663917541504,90.36144578313254,2.287687063217163,92.7710843373494,5.865485906600952,0.0,8.667986154556274
84,71.42857142857143,0.029109954833984375,47.61904761904761,0.04844307899475098,9.523809523809524,3.8153491020202637,90.47619047619048,5.613586187362671,92.85714285714286,5.692370891571045,0.0,8.688627004623413
85,71.76470588235294,0.02736806869506836,48.23529411764706,0.047019004821777344,9.411764705882353,4.095625877380371,90.58823529411765,6.150554895401001,92.94117647058823,4.040329933166504,0.0,8.652314186096191
86,72.09302325581395,0.029445886611938477,48.837209302325576,0.04898524284362793,10.465116279069768,2.9937212467193604,90.69767441860465,4.669849157333374,93.02325581395348,4.500187873840332,0.0,8.66169810295105
87,71.26436781609196,0.027470111846923828,48.275862068965516,0.049859046936035156,10.344827586206897,5.1967480182647705,89.65517241379311,4.195729970932007,91.95402298850574,3.5246400833129883,0.0,8.721903800964355
88,71.5909090909091,0.027721166610717773,48.86363636363637,0.04764294624328613,11.363636363636363,4.301630973815918,88.63636363636364,2.526580333709717,92.04545454545455,4.116601943969727,0.0,8.657243251800537
89,70.78651685393258,0.033273935317993164,48.31460674157304,0.04502081871032715,11.235955056179774,5.967044830322266,88.76404494382022,2.480346918106079,92.13483146067416,4.395169019699097,0.0,8.71255111694336
90,71.11111111111111,0.0274960994720459,48.888888888888886,0.04611086845397949,11.11111111111111,3.735227108001709,88.88888888888889,4.029192209243774,92.22222222222223,5.404747009277344,0.0,8.570473909378052
91,71.42857142857143,0.027138710021972656,48.35164835164835,0.049008846282958984,10.989010989010989,3.327462911605835,87.91208791208791,2.7061328887939453,92.3076923076923,3.973013162612915,0.0,8.689053297042847
92,71.73913043478261,0.024483203887939453,47.82608695652174,0.04323720932006836,11.956521739130435,3.0703108310699463,88.04347826086956,4.279088258743286,91.30434782608695,3.2841126918792725,0.0,8.74097990989685
93,70.96774193548387,0.02592015266418457,47.31182795698925,0.049085140228271484,11.827956989247312,6.418793201446533,88.17204301075269,4.149699687957764,91.39784946236558,3.1450979709625244,0.0,8.690487146377563
94,71.27659574468085,0.02779078483581543,47.87234042553192,0.04630780220031738,11.702127659574469,5.822596073150635,88.29787234042553,4.409446954727173,91.48936170212765,4.9267120361328125,0.0,8.723533868789673
95,70.52631578947368,0.02889704704284668,47.368421052631575,0.04491996765136719,11.578947368421053,4.295469045639038,88.42105263157895,3.256099224090576,91.57894736842105,4.062583923339844,0.0,8.592237949371338
96,70.83333333333334,0.02606511116027832,47.91666666666667,0.047120094299316406,11.458333333333332,6.898975849151611,88.54166666666666,3.8586266040802,91.66666666666666,3.1329171657562256,0.0,8.720885038375854
97,71.1340206185567,0.02764892578125,48.45360824742268,0.04217410087585449,11.34020618556701,3.266051769256592,88.65979381443299,2.635490894317627,91.75257731958763,3.9902331829071045,0.0,8.734058380126953
98,71.42857142857143,0.029479265213012695,47.95918367346938,0.045989036560058594,11.224489795918368,5.59944486618042,88.77551020408163,4.355994939804077,91.83673469387756,5.408457279205322,0.0,8.679439067840576
99,71.71717171717171,0.03070807456970215,47.474747474747474,0.04828810691833496,11.11111111111111,2.9555892944335938,88.88888888888889,3.928831100463867,91.91919191919192,5.800487041473389,0.0,8.703344345092773
100,71.0,0.027220964431762695,48.0,0.04967021942138672,11.0,3.0273449420928955,89.0,3.678053855895996,92.0,5.50479793548584,0.0,8.588134050369263
101,70.29702970297029,0.028335094451904297,48.51485148514851,0.046280860900878906,10.891089108910892,4.908608913421631,89.10891089108911,5.434326887130737,92.07920792079209,5.493179798126221,0.0,8.714516878128052
102,69.6078431372549,0.028512001037597656,49.01960784313725,0.05032992362976074,10.784313725490197,3.2349770069122314,89.2156862745098,0.18462204933166504,92.15686274509804,2.8704288005828857,0.0,8.6928551197052
103,69.90291262135922,0.026815176010131836,48.54368932038835,0.041895151138305664,10.679611650485436,4.733431816101074,89.32038834951457,6.189693927764893,92.23300970873787,0.7426061630249023,0.0,8.69520115852356
104,69.23076923076923,0.030022859573364258,49.03846153846153,0.04697585105895996,11.538461538461538,4.617304801940918,89.42307692307693,2.772428035736084,92.3076923076923,3.245917320251465,0.0,8.693826913833618
105,69.52380952380952,0.03208279609680176,49.523809523809526,0.04604792594909668,11.428571428571429,3.254957914352417,89.52380952380953,2.623080015182495,92.38095238095238,3.7492406368255615,0.0,8.550282001495361
106,69.81132075471697,0.030415773391723633,49.056603773584904,0.046630144119262695,11.320754716981133,2.5886452198028564,89.62264150943396,3.6301450729370117,92.45283018867924,2.4740118980407715,0.0,8.714574813842773
107,70.09345794392523,0.025150060653686523,48.598130841121495,0.045900821685791016,11.214953271028037,3.9722700119018555,89.7196261682243,3.9780309200286865,92.5233644859813,4.060905933380127,0.0,8.6996009349823
108,70.37037037037037,0.027373075485229492,48.148148148148145,0.05277085304260254,11.11111111111111,3.794830083847046,89.81481481481481,4.135851144790649,92.5925925925926,5.335402965545654,0.0,8.687580823898315
109,70.64220183486239,0.02874612808227539,47.706422018348626,0.045754194259643555,11.009174311926607,3.3175487518310547,89.90825688073394,2.637134075164795,92.66055045871559,3.7410647869110107,0.0,8.705647230148315
110,70.9090909090909,0.0288388729095459,47.27272727272727,0.04675602912902832,10.909090909090908,1.5848228931427002,90.0,3.6965067386627197,91.81818181818183,3.9033448696136475,0.0,8.579590082168579
111,71.17117117117117,0.025229215621948242,47.74774774774775,0.046987056732177734,10.81081081081081,3.600637912750244,90.09009009009009,4.3886559009552,91.8918918918919,3.601938009262085,0.0,8.70507001876831
112,71.42857142857143,0.025517940521240234,48.214285714285715,0.04739689826965332,10.714285714285714,2.963623285293579,90.17857142857143,5.05227518081665,91.96428571428571,3.970533847808838,0.0,8.701873064041138
113,71.68141592920354,0.02400374412536621,47.78761061946903,0.04540896415710449,10.619469026548673,0.22397589683532715,90.2654867256637,1.5470001697540283,92.03539823008849,5.067594051361084,0.0,8.742026090621948
114,71.9298245614035,0.02842092514038086,47.368421052631575,0.0428926944732666,10.526315789473683,3.223569869995117,89.47368421052632,3.12880277633667,92.10526315789474,3.0454261302948,0.0,8.667352199554443
115,71.30434782608695,0.029227018356323242,46.95652173913044,0.04691720008850098,10.434782608695652,5.973083019256592,89.56521739130436,6.765067100524902,92.17391304347827,4.820554971694946,0.0,8.608102798461914
